"","Trans B","Mat B","Mem B","PB","PC"
"Gls",0.261858049542775,0.151328502589515,0.221251072077598,0.149365260464601,0.209975433932561
"Nab1",0.136311936150605,0.207265643678929,0.128834946189333,0.184237081751247,0.330882550892074
"Nemp2",0.213295022029,0.154728042144138,0.189118095920048,0.0789128213262766,0.0823644371387303
"Mfsd6",0.065649611299372,0.00760951305578018,0.0794073540128908,0.0718161737195882,0.149805573407155
"Inpp1",0.111229975334661,0.135382054194614,0.0812829908685993,0.415956615537251,0.555824096571882
"Hibch",0.264490587452462,0.117208375166142,0.162006373031637,0.163017835887789,0.204243570254026
"1700019D03Rik",0,0.0384952585471744,0.0123919637223341,0.00986238482231196,0.00432810164579952
"Pms1",0.195398719985893,0.0746591618082648,0.122676221287748,0.0443912040192396,0.0140559258427515
"Ormdl1",0.265987913868914,0.113650729715862,0.0500983615472858,0.130636797089486,0.107548466727905
"Osgepl1",0.143746673363064,0.110506643977417,0.288033289666858,0.0816237223473265,0.0882734489729847
"Asnsd1",0.136906915274961,0.168080768067116,0.145995562332746,0.133366965732314,0.0747648876277671
"Stk17b",3.2814889330209,2.93240834362398,3.33750920684762,1.21086108029352,1.13245889800377
"Hecw2",0.0204243830556774,0,0,0.0173917778033906,0.0546803105497744
"Gtf3c3",0.0439645408331146,0.0853420232953337,0.077950796735265,0.0777232427144054,0.056901205244739
"Pgap1",0.295972732701707,0.659031899544777,0.441458170539878,0.0332474299608942,0.0494856714951409
"Gm36955",0,0.0266030362102093,0,0,0.00158954687052513
"Ankrd44",0.436871941731683,1.10068024648254,1.30286763527375,0.220379552928761,0.324982493954638
"Gm37370",0.0282915959147856,0,0.0117274128263689,0,0.00334915465451741
"A130048G24Rik",0,0.0133749102622247,0,0,0.00295693705169834
"Sf3b1",4.91290495738702,3.42923829708409,3.62067186059167,3.6773963839973,2.90518576636647
"E330011M16Rik",0,0,0.00867241423008721,0,0.00863762781219905
"Coq10b",0.120640617600072,0.204691155163895,0.180398710174691,0.365654663851519,0.371806134040659
"Gm17971",0,0,0,0,0.0170462362915314
"Hspd1",1.57484618599579,2.35798378939251,1.61723962603906,1.88424665822868,0.762133531965644
"Hspe1",1.47887682685782,1.77726492442187,1.64549086082946,2.12220034371853,1.02038124594671
"Mob4",1.07369956611457,0.981280854820539,0.815035274838481,0.66844338816627,0.894014204619384
"Gm6822",0.0315852354687992,0,0,0.0122367200709924,0.00234131010050984
"Rftn2",0.194193729247573,0.0617991589783969,0.0337282283474573,0.00852331570100728,0.0277833271789829
"Gm10561",0.0630511037783406,0.094509457200212,0,0,0.00156222644631147
"Mars2",0.159883719471962,0.0598907709120423,0.0958427762361138,0.0641116214902818,0.0393164062484808
"Gm8292",0.0282915959147856,0.025683635318852,0.0339192612304666,0.0271859199278212,0.0419066667695555
"Gm38056",0.0700868200435054,0.00622557637904249,0,0.0078261044100554,0.0147832038330226
"Gm6644",0.0257863005562219,0.036799023072779,0.0250595732076477,0.0396372727116439,0.0367663286290218
"Satb2",0.0652182184519762,0,0,0,0.0189262844079825
"4930558J18Rik",0,0,0.00701900432859557,0.0260175303403116,0.000769490254834659
"1700066M21Rik",0,0.0273035417441784,0.0628614238206789,0.0613079120139844,0.0242086276102779
"Tyw5",0.201307979864929,0.0842827321049633,0.103423669026665,0.134113211311318,0.07144430599409
"Maip1",0.415567792187833,0.300857159988826,0.178352639151113,0.280805237207993,0.274154642148768
"Spats2l",0.0240894273862624,0,0,0.0218785320280811,0.0229826936275349
"Kctd18",0.058365549766086,0.0223405159376068,0.0959042697847004,0.0721172729409519,0.0525411677402595
"Sgo2a",0,0,0,0.496870339184885,0.00358419339371129
"Gm37607",0,0.0110483645035108,0.0109643103768751,0,0.0108127238542708
"Bzw1",2.63710155036563,2.53567553880726,1.89979259337365,2.4896994064326,1.97561136899412
"Clk1",0.645372162489193,0.957627495207944,0.887731009310216,0.277813956807513,0.502806526260306
"Ppil3",0.541845203505706,0.716800892001289,0.872340958691021,0.534191527236796,0.603272761370127
"Nif3l1",0.0824121911791049,0.210521921624366,0.126713229660276,0.153738487217012,0.178370219730156
"Orc2",0.115018625091565,0.310826785177913,0.361784533760343,0.322840713613029,0.194524676379345
"Gm15834",0.0264183971087866,0,0.0203800972149029,0,0.0204378591717265
"Fam126b",0.0512994241048206,0.0963383797737205,0.0852897621491563,0.0449688608661774,0.0563109873399397
"Ndufb3",1.99618004324754,1.32939941860214,1.07113989672704,1.68490456830451,1.79151005377287
"Gm20257",0.0665515596500553,0.0292569395524042,0.196532379944303,0.120145987551328,0.317634951024541
"Cflar",0.330238032956305,0.734589331247262,0.522580275562349,0.789724144708941,1.35430488990099
"Casp8",0.796221898954301,0.651958761624437,0.8073082126488,0.754815710295487,0.60455284768316
"Gm37760",0,0.0328074467109481,0.0665294867335895,0.0205078389982845,0.025508230938191
"Gm28802",0,0,0,0,0.00675876505360373
"Trak2",0.169837230441253,0.234164191756964,0.097125611188576,0.136034186006557,0.231339347914648
"Stradb",0.519583929066752,0.401093040054955,0.195558402052781,0.219934539325934,0.385545274066597
"Tmem237",0.0511547965988705,0.0700810093353887,0.059439660928938,0.0830571653051235,0.0907267505583284
"G730003C15Rik",0,0,0.0226523110279143,0.00724187508484053,0.00959491354578734
"Als2",0.0369569054701049,0.0487970531462293,0.0979717538842854,0.0389853444282461,0.0848101319980495
"Sumo1",1.95363907934143,2.74216361265767,2.81511902675867,1.8814188744579,1.96233672900135
"Nop58",0.726515411627216,1.28844460770816,0.582608343122209,1.86991364621513,0.827346264689257
"Bmpr2",0.0472741764643016,0.0221420142860181,0.0468389342775102,0,0.00265478891148919
"Fam117b",0.167200439572789,0.085467418450728,0.0521672218152148,0.0336826040245089,0.0633573589016664
"Wdr12",0.315702704909508,0.392716550785273,0.286043472898058,0.339992825280766,0.163005540454381
"Carf",0.0539759984131058,0.0673118796062115,0.0156606699066685,0.00879401940763211,0.0128123533874318
"Nbeal1",0.177803038137269,0.169613683238536,0.0821412556202645,0.101772672298133,0.128608669453368
"Cyp20a1",0.116652825072085,0.268104150797949,0.200480753532811,0.251130546345518,0.449121615750143
"6030460B20Rik",0,0,0,0,0.0161262441655834
"Abi2",0.0459115645951351,0.0115119467769032,0.0279119234448506,0.0214139382624817,0.0493475155439121
"Raph1",0,0,0,0.0744927836329181,0.142438157884231
"Gm11575",0,0,0,0.0186321051466646,0.0160391351905522
"Eif4a-ps4",0,0.00355460261821476,0.00841282364578686,0.0347118262160406,0.0069841904409608
"Cd28",0,0,0,0.180848893644568,0.787149944439212
"Ctla4",0,0.0655926454721253,0,0.0278296618819095,0.0560685766720207
"Rpl18-ps1",0,0.00994616229660947,0.0190595141569937,0.0103008227336086,0.0112311046263475
"Icos",0,0,0,0,0
"Pard3b",0.0238863776886178,0.0240220829531227,0,0.00912361611474326,0.00120751358681922
"Nrp2",0,0.233177072052589,0.460851069036143,0.08569337746653,0.13763219251252
"Ino80d",0.202599687931058,0.292808724547332,0.345729370995845,0.0957768439153336,0.143176662736585
"Ino80dos",0.0506394819647118,0.0714332992660692,0.0165835173749586,0.00761227988471821,0.0293883733941602
"Gm20342",0,0.0128516543844583,0,0.0130468672234282,0.00422408724243264
"Ndufs1",0.416219114512848,0.288457859297296,0.360487728768481,0.335305831966,0.383048647175486
"Eef1b2",7.60178139736318,25.2622741468553,17.6892275036374,26.8025729097623,19.6987431483871
"Fastkd2",0.0793538294938971,0.10288762538419,0.0388158205944628,0.0859386703781013,0.0826261757639003
"Klf7",0.284752834050358,0.27474443169721,0.308924259598998,0.123484280584201,0.265921515000098
"Creb1",0.675039753049318,0.378099150138293,0.438763197779496,0.26999396137193,0.214553894848013
"Mettl21a",0,0.212144808599899,0.293250643415368,0.0816162522124692,0.169762542561216
"2810408I11Rik",0.0167349533640261,0.00278252228954564,0.0217986637539605,0.487492442928202,0.0516061862619855
"Ccnyl1",0.0128756784346357,0,0,0.003537056575489,0.00656694619084121
"Fzd5",0,0,0.0275810490745332,0.0110334329631763,0.00806890368500011
"Plekhm3",0.0942205508553515,0.624266549896945,0.650720972061744,0.0827756220648252,0.209684704371557
"Rpl10a-ps1",0.208551440139777,0.402164939125007,0.222702824514112,0.263824858843301,0.224293849025668
"Idh1",0.100949709847341,0.102563965839938,0.0581638892888234,0.0602953310576235,0.0951104591293917
"Pikfyve",0.0209140713642942,0.269864482747897,0.311517407043178,0.191644398358325,0.343743467565887
"Map2",0.12328522114979,0.016185544678121,0,0.00617053525124688,0.00220470720716566
"Rpe",0.315724416996895,0.273344786338405,0.250313623045195,0.36985362232524,0.318036772394006
"Kansl1l",0.379571204214136,0.158492876893846,0.0417701959612095,0.0577012639693038,0.110670684663181
"Gm38162",0,0,0,0.0095019461798865,0.0090710741226586
"6820402A03Rik",0,0,0,0,0.00895384139674987
"Acadl",0.856083534018731,1.12867118582759,1.09003857298977,1.13051355566204,0.98195855334933
