"","IgA","IgE1","IgE2","IgG","IgM"
"Il18r1",0.0623921153657032,0.127102528165732,0.0567519441465356,0,0.161195644810665
"Il18rap",0,0,0,0,0.00314517812222659
"Mrps9",0.213921615028825,0.228531713690056,0.278445842303636,0.152561769508238,0.258186058347581
"Gpr45",0.00720103456950518,0,0,0,0
"Tgfbrap1",0.074384746414859,0.0679677920079797,0.122192312327325,0.0641806539498342,0.124502416666821
"AI597479",0.0532049697103131,0.0160646157532913,0.0576510853307169,0.0389251345912104,0.0507336851697277
"Nck2",0.017752976408305,0.0423542450495603,0.0293132873727502,0.122494646424915,0.0264294505305538
"Uxs1",0.160567925337618,0.492181113010844,0.304013898484043,0.357887857135564,0.357177934889808
"Tpp2",0.557787088462468,0.811198749597057,0.804139754901161,0.61246517345725,0.703902095351058
"Gm8251",0.0245259227368238,0.00957665324767366,0,0,0.340069259822451
"Tex30",0.606723042814455,0.488885569542364,0.752044358539263,0.312588663337639,0.538404461015893
"Kdelc1",0.119257552635556,0.0664009750185885,0.104279577483735,0.0602114243441303,0.0655062087508993
"Bivm",0.00764219463123629,0.0689986907162059,0.0404648335915263,0.0183576297758482,0.0228235774057687
"Ercc5",0.0304583688667476,0.059873633679969,0.130199804441948,0.0624381971352821,0.176779443451968
"Txn-ps1",0.0285945633628924,0.0107894474224695,0.010402971784024,0.0170339436214044,0.00436361634913962
"Wdr75",0.209368079787912,0.304025667647877,0.24666073369376,0.325732448968508,0.34753344996878
"Slc40a1",0,0.00197786153731546,0,0.0146036407154561,0
"Slc39a10",0.0482447894301319,0.0322840348630011,0.0290000877757586,0.0772437810320795,0.0305316225872122
"Nabp1",0.0474554784205257,0.090051111391685,0.0527747713389991,0.0322681211319368,0.0496670266354437
"Stat4",0.0555436134070796,0.0675504270260914,0.0565975837168026,0.0378164056910351,0.0928765803029231
"Gm31812",0,0.00746342202630376,0,0,0.0151204848354489
"Stat1",1.42366141432315,1.41064491266176,1.14542094686306,1.98423555441705,1.33859242206712
"Gls",0.240686817133888,0.281185736513679,0.223111046374587,0.141122425383799,0.164850716797145
"Nab1",0.228715060392186,0.342751564876339,0.632881711417452,0.506824276385502,0.325024720968603
"Nemp2",0.0856929249188105,0.102473846771646,0.0613452547946979,0.0170339436214044,0.104337991290312
"Mfsd6",0.11443111858836,0.179182457453772,0.149633049522808,0.15078338378349,0.199633493365802
"Inpp1",0.768550454607454,0.497797607353759,1.05544579247549,0.230926025232016,0.56262527089774
"Hibch",0.231448906834149,0.20886014509571,0.256457845804597,0.260914702257643,0.204262604610725
"1700019D03Rik",0.00537066831303522,0.00249092712232801,0.0249656732597324,0,0
"Pms1",0.0114831883254657,0.00884756797807756,0.0289078778536571,0.0307960030769776,0.0176667293638242
"Ormdl1",0.159288742652816,0.0970408625864015,0.0805844276609554,0.233933141835243,0.0895194773335404
"Osgepl1",0.101995479201071,0.09628115209752,0.129793338345263,0.0886733733368931,0.0751057723402868
"Asnsd1",0.0818523969428408,0.0940077298602232,0.0640018741683331,0.0119514875471823,0.0923148426095782
"Stk17b",1.27852216025464,1.03243947823127,1.73479867038861,0.671629496811532,1.57198698749806
"Hecw2",0.0717498619984974,0.0701307367880656,0.0279093547169699,0.0165898524577676,0.0566697017275868
"Gtf3c3",0.0280763874334954,0.0594270151104358,0.0226073772917531,0.152211521848583,0.0827039839322456
"Pgap1",0.0144914147696547,0.0396814568912644,0.0263637932957135,0.0378469302014326,0.142243117619645
"Gm36955",0,0,0,0,0.00754063678427157
"Ankrd44",0.510114785560157,0.300326000513141,0.301258081335866,0.187078676179889,0.378262845229871
"Gm37370",0,0.00266606435514962,0,0.0177747373269763,0.00542787843031961
"A130048G24Rik",0,0.00521282973038052,0.0106767593600406,0,0
"Sf3b1",3.26227324553151,2.8531119958874,3.60256087371935,3.12769282779777,3.45799628266189
"E330011M16Rik",0.0122227713583846,0.0046761158444197,0.013194461784874,0.0187425503045077,0.00980937059833614
"Coq10b",0.381972401255982,0.416456251965793,0.480654853373886,0.22917709233405,0.435481557739248
"Gm17971",0,0.00558274196403579,0.00657953810980085,0,0.0787474750379685
"Hspd1",0.626459671204246,0.878593306359086,0.995705094870996,0.668536890224364,0.91909721471605
"Hspe1",1.05607092282504,1.14957761892006,1.28895824863803,1.0458404532671,1.04761145995972
"Mob4",1.17422565325884,0.93943211971597,0.844023024808351,1.02463208338284,0.884391341105345
"Gm6822",0,0.00176425930582714,0,0,0.00809156008807698
"Rftn2",0.0477642805359938,0.0139900264435661,0,0.0200960638593309,0.0585800380593866
"Gm10561",0,0,0,0,0.00782672510998082
"Mars2",0.0359121179510075,0.0406656053987726,0.0349975826922895,0.0766837882924733,0.0416145820406596
"Gm8292",0.0461574566883807,0.0431394325472361,0.0784717126351464,0.0187932881493539,0.045797049580631
"Gm38056",0.025502793742633,0.0268890863803749,0.00790233241240832,0,0
"Gm6644",0.0152074312088929,0.0431976191359797,0.0457789903068954,0.0338658148632221,0.0552892763604962
"Satb2",0,0.0442995507062628,0,0,0.00520684410667476
"4930558J18Rik",0,0,0.00790233241240832,0,0
"1700066M21Rik",0.0280676689234025,0.0111865167145057,0.0606411201411465,0.0649785308599972,0.0218312243756173
"Tyw5",0.126898916007128,0.0513927351995765,0.0598413496443287,0.136033087207536,0.0615317226908145
"Maip1",0.250956583575471,0.352579935512959,0.347706755709257,0.157682517512746,0.269635046524487
"Spats2l",0.0386186496429185,0.00208558456932326,0,0.0904972908846604,0.0373095328535303
"Kctd18",0.0481235838388757,0.0611088953445801,0.0462710977306452,0.0469335500108078,0.0650372233785943
"Sgo2a",0.00409989199148841,0.00155194017467908,0,0,0.0109404382396425
"Gm37607",0.0105495812116592,0,0.0112390390929925,0,0.0379881893061168
"Bzw1",1.99778765762157,2.19146910756268,2.21999592496903,1.96049685370766,2.26330560168403
"Clk1",0.557868324328808,0.481503218749152,0.484336763295397,0.38774310184097,0.754462332854258
"Ppil3",0.503921391112101,0.672848821195309,0.814216295440072,0.646310460618077,0.727754031452063
